,Store,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,StoreType_b,StoreType_c,StoreType_d
17,18,3,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
18,19,3,3240.0,9.0,2013.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
19,20,1,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
20,21,3,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
21,22,1,1040.0,9.0,2013.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
22,23,1,4060.0,8.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
23,24,3,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
24,25,1,430.0,4.0,2003.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
25,26,1,2300.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
26,27,1,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
27,28,1,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
28,29,3,2170.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
29,30,1,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
30,31,3,9800.0,7.0,2012.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
31,32,1,2910.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
32,33,3,1320.0,5.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
33,34,1,2240.0,9.0,2009.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
34,35,3,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
35,36,3,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
36,37,1,4230.0,12.0,2014.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
37,38,1,1090.0,4.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
38,39,1,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
39,40,1,180.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
40,41,3,1180.0,9.0,2013.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
41,42,3,290.0,9.0,2013.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
42,43,1,4880.0,9.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
43,44,1,540.0,6.0,2011.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
44,45,1,9710.0,2.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
45,46,1,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
46,47,3,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
47,48,1,1060.0,5.0,2012.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
48,49,3,18010.0,9.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
49,50,1,6260.0,11.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
50,51,3,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
51,52,3,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
52,53,3,30360.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
53,54,3,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
54,55,1,720.0,11.0,2004.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
55,56,3,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
56,57,3,420.0,6.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
57,58,3,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
58,59,3,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
59,60,3,5540.0,10.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
60,61,3,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
61,62,1,2050.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
62,63,3,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",0.0,1.0,0.0
63,64,3,22560.0,9.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
64,65,3,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
65,66,1,7660.0,9.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
66,67,3,410.0,2.0,2006.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
67,68,3,250.0,9.0,2013.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
68,69,3,1130.0,9.0,2013.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
69,70,3,4840.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
70,71,1,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
71,72,1,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
72,73,3,1650.0,9.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
73,74,1,330.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
74,75,3,22440.0,12.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
75,76,3,19960.0,3.0,2006.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
76,77,3,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
77,78,1,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
78,79,1,3320.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
79,80,1,7910.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
80,81,1,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
81,82,1,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
82,83,1,2710.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
83,84,3,11810.0,8.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
84,85,1,1870.0,10.0,2011.0,0,0.0,0.0,NotApplicable,1.0,0.0,0.0
85,86,1,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
86,87,1,560.0,12.0,2010.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
87,88,1,10690.0,10.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
88,89,1,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
89,90,1,330.0,11.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
90,91,1,2410.0,9.0,2013.0,1,35.0,2011.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
91,92,1,240.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,1.0,0.0
92,93,1,16690.0,9.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
93,94,3,14620.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
94,95,1,1890.0,10.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
95,96,1,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
96,97,3,8980.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
97,98,3,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
98,99,3,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0.0,1.0,0.0
99,100,1,17930.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
100,101,3,2440.0,9.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
101,102,1,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
102,103,3,5210.0,5.0,2015.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
103,104,1,390.0,6.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
104,105,3,6190.0,9.0,2013.0,1,23.0,2013.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
105,106,1,1390.0,8.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
106,107,1,1930.0,9.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
107,108,3,2190.0,9.0,2003.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
108,109,3,3300.0,11.0,2010.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
109,110,3,46590.0,4.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
110,111,3,7890.0,9.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
111,112,1,1630.0,9.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
112,113,3,20930.0,11.0,1999.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
113,114,1,4510.0,9.0,2013.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",0.0,1.0,0.0
114,115,3,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
115,116,1,680.0,4.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
116,117,1,3450.0,9.0,2011.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
117,118,3,3580.0,9.0,2012.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
118,119,3,2100.0,2.0,2010.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
119,120,1,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
120,121,1,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
121,122,3,58260.0,4.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
122,123,1,16760.0,9.0,2011.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
123,124,1,1410.0,4.0,2003.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
124,125,1,760.0,12.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
125,126,1,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
126,127,1,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
127,128,3,2000.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
128,129,1,2460.0,9.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
129,130,1,900.0,9.0,2013.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
130,131,1,920.0,7.0,2015.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
131,132,3,1040.0,9.0,2013.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
132,133,1,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
133,134,1,1200.0,9.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
134,135,1,5190.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
135,136,3,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
136,137,1,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
137,138,3,25360.0,10.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
138,139,1,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
139,140,3,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
140,141,3,1540.0,9.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0.0,1.0,0.0
141,142,1,1090.0,7.0,2002.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
142,143,1,2930.0,12.0,2002.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
143,144,3,16570.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
144,145,1,280.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
145,146,3,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
146,147,3,8540.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
147,148,1,2090.0,12.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
148,149,1,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
149,150,3,31830.0,3.0,2010.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
150,151,3,4360.0,10.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
151,152,1,1780.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
152,153,1,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
153,154,3,16420.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
154,155,1,3050.0,9.0,2013.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
155,156,1,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
156,157,3,2950.0,10.0,2004.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
157,158,3,11840.0,9.0,2013.0,1,31.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
158,159,1,8530.0,3.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
159,160,3,17110.0,11.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
160,161,3,2970.0,3.0,2005.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
161,162,3,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
162,163,1,1480.0,4.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
163,164,1,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
164,165,1,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
165,166,3,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
166,167,1,140.0,4.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
167,168,1,12540.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
168,169,1,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
169,170,1,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
170,171,1,2640.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
171,172,1,110.0,9.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
172,173,1,350.0,12.0,2012.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
173,174,1,13090.0,9.0,2013.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
174,175,1,4130.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
175,176,1,3770.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
176,177,1,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
177,178,1,1710.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
178,179,3,480.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
179,180,1,5800.0,9.0,2010.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
180,181,1,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
181,182,3,1390.0,9.0,2013.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
182,183,1,9670.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
183,184,3,3560.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
184,185,3,1860.0,5.0,2015.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
185,186,1,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
186,187,3,19360.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
187,188,1,850.0,9.0,2013.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
188,189,1,5760.0,7.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
189,190,1,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
190,191,1,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
191,192,3,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
192,193,1,520.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
193,194,3,16970.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
194,195,3,220.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
195,196,1,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,1.0,0.0
196,197,1,4210.0,3.0,2015.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
197,198,1,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
198,199,3,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
199,200,1,1650.0,10.0,2000.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
200,201,1,20260.0,9.0,2013.0,1,18.0,2014.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
201,202,3,5140.0,5.0,2010.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
202,203,3,490.0,11.0,2002.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
203,204,1,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
204,205,1,110.0,12.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
205,206,3,380.0,9.0,2013.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
206,207,1,6870.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
207,208,1,300.0,4.0,2006.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
208,209,3,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
209,210,1,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
210,211,3,350.0,11.0,2006.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
211,212,3,15050.0,9.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
212,213,3,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
213,214,1,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
214,215,1,150.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
215,216,1,190.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,1.0,0.0
216,217,1,3150.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
217,218,3,640.0,9.0,2013.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",0.0,0.0,0.0
218,219,1,1640.0,2.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
219,220,1,1000.0,9.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
220,221,3,13530.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
221,222,1,2170.0,11.0,2008.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
222,223,3,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
223,224,3,7930.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
224,225,1,10180.0,5.0,2015.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
225,226,1,450.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
226,227,1,2370.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
227,228,3,10800.0,9.0,2013.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
228,229,3,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
229,230,3,6680.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
230,231,3,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
231,232,3,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",0.0,1.0,0.0
232,233,1,1890.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
233,234,1,4370.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
234,235,1,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
235,236,1,1000.0,11.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
236,237,1,1420.0,11.0,2007.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
237,238,1,320.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
238,239,3,610.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
239,240,1,1110.0,5.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
240,241,3,780.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
241,242,1,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
242,243,1,310.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
243,244,1,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
244,245,3,1310.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
245,246,1,4660.0,4.0,2013.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
246,247,3,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
247,248,3,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
248,249,3,18010.0,9.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,1.0
249,250,1,3520.0,9.0,2013.0,1,18.0,2012.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
250,251,3,340.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
251,252,3,22330.0,9.0,2013.0,1,5.0,2010.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
252,253,3,250.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0.0,0.0,0.0
253,254,1,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec",0.0,0.0,1.0
